DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
41,PT. EHWA INDONESIA,FG-EHW-00021,,4.5 INCH OUT BOX (30PK)-BSA4790M 315X205X115 (PM2158),1300,3482,4526600,,KRT02731
42,PT. EHWA INDONESIA,FG-EHW-00023,,OUTBOX SGA 7 INCH MP 40PCS (PM2219),210,4753,998130,,KRT01283
43,PT. EHWA INDONESIA,FG-EHW-00029,,BOSCH 4.5 - 5 INCH 20PK FOR INDIVIDUAL BOX (PM2144),160,3798,607680,,KRT02170
44,PT. EHWA INDONESIA,FG-EHW-00032,,OUT BOX PEARL 4.5-5 PM2044,200,2015,403000,,KRT02886
45,PT. EHWA INDONESIA,FG-EHW-00037,,OUTBOX HUSQWARVA 16 INCH 5PK  530 X 490 X 50 MM (PM2163),400,13871,5548400,,KRT01282
46,PT. EHWA INDONESIA,FG-EHW-00047,,"OUTBOX SGA 14"" MP 9PCS (PM2220)",700,10300,7210000,,KRT02859
47,PT. EHWA INDONESIA,FG-EHW-00060,,OUT BOX DIABLO 4-5 INCH MP 20PK PET 30% (PM2249),260,3185,828100,,KRT01103
48,PT. EHWA INDONESIA,FG-EHW-00067,,HUSQVARNA 12 INCH OUT BOX 10 PK 450X360X80 MM (PM2161),500,8720,4360000,,KRT02810
49,PT. EHWA INDONESIA,FG-EHW-00069,,OUTBOX BOSCH_SLEEVE_6-7INCH_IP 5PCS (PM2239),100,2793,279300,,KRT02884
50,PT. EHWA INDONESIA,FG-EHW-00074,,OUT BOX PEARL 4 (PM2049),100,1746,174600,,KRT02861
51,PT. EHWA INDONESIA,FG-EHW-00076,,OUTBOX EVOLUTION 14 MP 5PCS CLEVER (PM2256),520,6305,3278600,,KRT02891
52,PT. EHWA INDONESIA,FG-EHW-00079,,OUT BOX DIABLO 3 INCH MP 15PCS PET30% PM2247,400,2279,911600,,KRT02864
53,PT. EHWA INDONESIA,FG-EHW-00080,,OUTBOX DOUBLE 4-5 INCH IP 5PCS (PM2241),400,2058,823200,,KRT01278
54,PT. EHWA INDONESIA,FG-EHW-00083,,OUT BOX DIABLO 7 MP 15PK PET30% SEG-TU (PM2254),60,5351,321060,,KRT02893
55,PT. EHWA INDONESIA,FG-EHW-00095,,OUTBOX BOSCH_SLEEVE_8-10INCH_IP (3PCS) (PM2244),900,3626,3263400,,
56,PT. EHWA INDONESIA,FG-EHW-00096,,BOSCH 4-5INCH MP 20PK OUT BOX 185X170X180 (PM2090),240,2500,600000,,
57,PT. EHWA INDONESIA,FG-EHW-00098,,"OUTBOX SPYDER 4.5"" MP 120PCS (PM2171)",60,12130,727800,,
58,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00004,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,BOX ESSILOR BESAR POLOS (ISUPRSOIS00024),1700,900,1530000,14839500,KRT03788
59,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00005,,BOX ESSILOR KECIL POLOS (ISUPRSOIS00025),2800,800,2240000,,KRT03746
60,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00007,,BOX DISPLAY POLOS TERTUTUP 10X40X9 CM (ISUPROIS00022),600,1600,960000,,KRT03747
61,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00009,,BOX BULK LOGO PACKING 40X50X40 CSUCMMS002871,415,14900,6183500,,KRT03853
62,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00016,,BOX FRAME 15X6.5X4CM (CSUCMMS002913),3260,500,1630000,,KRT01609
63,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00017,,CARTON BOX 360X242X250MM (NON PRINTED) (CSUCMMS002156),80,4900,392000,,KRT01610
64,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,FG-EPS-00018,,BOX BULK POLOS TERTUTUP 8.8X49X18 CM (ISUPROIS00023),560,3400,1904000,,KRT01607
65,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00001,PT. EVERPRO  INDONESIA TECHNOLOGIES,CARTON BOX 994819000000338 CARTON/5 LAYERS 375X375X375MM/YN,1335,18600,24831000,62121525,KRT01557
