Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:06,PO20260123000050,0415/JL/CKRG/0226,1,KRT04061,(994819000010083) PACKAGING BOX/NEUTRAL LOGO PACKAGING/UK 370X370X430 MM,"3,040.00",PCS,"17,500.00",0,"53,200,000.00"," 5,852,000.00 "," 59,052,000.00 ",04002600023664464,PO : PO20260123000050 DO : DLV-2601303735 DLV-2601283686 DLV-2601273663 DLV-2601253636 DLV-2601233621 DLV-2601233606
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:06,PO20260123000050,0415/JL/CKRG/0226,2,KRT04050,(994819000000192) CARTON 5 LAYERS CORRUGATED PAPER OUTER UK 375X375X375 MM HW EXCLUSIVE,800.00,PCS,"18,600.00",0,"14,880,000.00"," 1,636,800.00 "," 16,516,800.00 ",04002600023664464,PO : PO20260123000050 DO : DLV-2601303735 DLV-2601283686 DLV-2601273663 DLV-2601253636 DLV-2601233621 DLV-2601233606
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:06,PO20260123000050,0415/JL/CKRG/0226,3,KRT03985,(998486000060432) PACKAGING/CARD BOARD/IVORY BOARD/WHITE/27 6MMX200MM/D100012,"12,000.00",PCS,900.00,0,"10,800,000.00"," 1,188,000.00 "," 11,988,000.00 ",04002600023664464,PO : PO20260123000050 DO : DLV-2601303735 DLV-2601283686 DLV-2601273663 DLV-2601253636 DLV-2601233621 DLV-2601233606
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:06,PO20260123000050,0415/JL/CKRG/0226,4,KRT03780,(998486000060400) PACKING/BOX/E-SHAPED INNER CARTON BOX/NO PRINTING /E-SHAPED CORRUGATED PAPER/NATURAL COLOR/280x200x40MM/D500007,"2,300.00",PCS,"2,650.00",0,"6,095,000.00"," 670,450.00 "," 6,765,450.00 ",04002600023664464,PO : PO20260123000050 DO : DLV-2601303735 DLV-2601283686 DLV-2601273663 DLV-2601253636 DLV-2601233621 DLV-2601233606
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:06,PO20260123000050,0415/JL/CKRG/0226,5,KRT03781,(998486000060401) PACKING/BOX/F-SHAPED OUTER CARTON/BLACK PRINTING/DOUBLE-LAYER CORRUGATED PAPER/NATURAL COLOR/440X300X485MM/D500051,130.00,PCS,"18,960.00",0,"2,464,800.00"," 271,128.00 "," 2,735,928.00 ",04002600023664464,PO : PO20260123000050 DO : DLV-2601303735 DLV-2601283686 DLV-2601273663 DLV-2601253636 DLV-2601233621 DLV-2601233606
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 14:08,PO20251215000157,0416/JL/CKRG/0226,1,KRT04061,(994819000010083) PACKAGING BOX/NEUTRAL LOGO PACKAGING/UK 370X370X430 MM,800.00,PCS,"17,500.00",0,"14,000,000.00"," 1,540,000.00 "," 15,540,000.00 ",04002600023664465,PO : PO20251215000157 DO : DLV-2601233605 DLV-2601223599
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
