Location From Description,Location From City,Location To Description,Location To City, Truck Type , Quoted Price ,
PABRIK WICA CIKARANG,CIKARANG,BANDUNG,BANDUNG, TRUCK BOX CDE ," Rp1,380,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BANDUNG,BANDUNG, TRUCK BOX KECIL (5-6 ," Rp1,437,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BANDUNG,BANDUNG, TRUCK BOX SEDANG (8- ," Rp1,987,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BANDUNG,BANDUNG, WINGS BOX ," Rp4,198,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BEKASI,BEKASI, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BEKASI,BEKASI, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BEKASI,BEKASI, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BEKASI,BEKASI, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BEKASI,BEKASI, WINGS BOX ," Rp1,900,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KARAWANG,KARAWANG, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KARAWANG,KARAWANG, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KARAWANG,KARAWANG, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KARAWANG,KARAWANG, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KARAWANG,KARAWANG, WINGS BOX ," Rp2,000,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PATI,PATI, TRUCK BOX KECIL (5-6 ," Rp3,100,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PATI,PATI, TRUCK BOX SEDANG (8- ," Rp5,500,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PATI,PATI, WINGS BOX ," Rp6,612,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PURWAKARTA,PURWAKARTA, GRAND MAX BOX ," Rp655,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PURWAKARTA,PURWAKARTA, TRUCK BOX CDE ," Rp822,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PURWAKARTA,PURWAKARTA, TRUCK BOX KECIL (5-6 ," Rp920,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PURWAKARTA,PURWAKARTA, TRUCK BOX SEDANG (8- ," Rp1,587,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PURWAKARTA,PURWAKARTA, WINGS BOX ," Rp2,415,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, TRUCK BOX KECIL (5-6 ," Rp3,645,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, TRUCK BOX SEDANG (8- ," Rp6,000,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, WINGS BOX ," Rp8,250,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SUMEDANG,SUMEDANG, TRUCK BOX KECIL (5-6 ," Rp1,466,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SUMEDANG,SUMEDANG, TRUCK BOX SEDANG (8- ," Rp2,875,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,TANGERANG,TANGERANG, GRAND MAX BOX ," Rp655,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,TANGERANG,TANGERANG, TRUCK BOX CDE ," Rp822,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,TANGERANG,TANGERANG, TRUCK BOX KECIL (5-6 ," Rp920,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,TANGERANG,TANGERANG, TRUCK BOX SEDANG (8- ," Rp1,587,000.00 ",
