Location From Description,Location From City,Location To Description,Location To City,Truck Type, Quoted Price 
PABRIK SERANG,SERANG,SAYUNG,DEMAK,TRUCK BOX SEDANG (8-," Rp6,200,000.00 "
PABRIK SERANG,SERANG,CIAWI,BOGOR,TRUCK BOX SEDANG (8-," Rp2,300,000.00 "
PABRIK SERANG,SERANG,PABRIK WICA CIKARANG,CIKARANG,TRUCK BOX SEDANG (8-," Rp2,000,000.00 "
PABRIK SERANG,SERANG,GRESIK,GRESIK,TRUCK BOX SEDANG (8-," Rp6,500,000.00 "
PABRIK SERANG,SERANG,LAMPUNG,LAMPUNG,TRUCK BOX SEDANG (8-," Rp6,000,000.00 "
PABRIK SERANG,SERANG,BOGOR,BOGOR,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,CIANJUR,CIANJUR,GRAND MAX BOX," Rp2,220,000.00 "
PABRIK SERANG,SERANG,CIBITUNG,BEKASI,GRAND MAX BOX," Rp1,500,000.00 "
PABRIK SERANG,SERANG,CIKAMPEK,KARAWANG,GRAND MAX BOX," Rp1,740,000.00 "
PABRIK SERANG,SERANG,CIKARANG,BEKASI,GRAND MAX BOX," Rp1,500,000.00 "
PABRIK SERANG,SERANG,CIREBON,CIREBON,GRAND MAX BOX," Rp1,920,000.00 "
PABRIK SERANG,SERANG,DEPOK,DEPOK,GRAND MAX BOX," Rp1,590,000.00 "
PABRIK SERANG,SERANG,GARUT,GARUT,GRAND MAX BOX," Rp2,520,000.00 "
PABRIK SERANG,SERANG,JAKARTA BARAT,JAKARTA BARAT,GRAND MAX BOX," Rp1,320,000.00 "
PABRIK SERANG,SERANG,JAKARTA TIMUR,JAKARTA TIMUR,GRAND MAX BOX," Rp1,380,000.00 "
PABRIK SERANG,SERANG,JAKARTA UTARA,JAKARTA UTARA,GRAND MAX BOX," Rp1,380,000.00 "
PABRIK SERANG,SERANG,JOMBANG,JOMBANG,GRAND MAX BOX," Rp4,320,000.00 "
PABRIK SERANG,SERANG,MAGELANG,MAGELANG,GRAND MAX BOX," Rp3,600,000.00 "
PABRIK SERANG,SERANG,MAJALENGKA,MAJALENGKA,GRAND MAX BOX," Rp1,920,000.00 "
PABRIK SERANG,SERANG,MALANG,MALANG,GRAND MAX BOX," Rp4,320,000.00 "
PABRIK SERANG,SERANG,SEMARANG,SEMARANG,GRAND MAX BOX," Rp3,300,000.00 "
PABRIK SERANG,SERANG,SENTUL,BOGOR,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,SOLO,SOLO,GRAND MAX BOX," Rp3,780,000.00 "
PABRIK SERANG,SERANG,SUKABUMI,SUKABUMI,GRAND MAX BOX," Rp1,980,000.00 "
PABRIK SERANG,SERANG,SURABAYA,SURABAYA,GRAND MAX BOX," Rp3,900,000.00 "
PABRIK SERANG,SERANG,TASIKMALAYA,TASIKMALAYA,GRAND MAX BOX," Rp2,820,000.00 "
PABRIK SERANG,SERANG,BANDUNG,BANDUNG,GRAND MAX BOX," Rp1,920,000.00 "
PABRIK SERANG,SERANG,BEKASI,BEKASI,GRAND MAX BOX," Rp1,440,000.00 "
PABRIK SERANG,SERANG,KARAWANG,KARAWANG,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,PURWAKARTA,PURWAKARTA,GRAND MAX BOX," Rp1,800,000.00 "
PABRIK SERANG,SERANG,PURWOKERTO,BANYUMAS,GRAND MAX BOX," Rp3,600,000.00 "
PABRIK SERANG,SERANG,REMBANG,REMBANG,GRAND MAX BOX," Rp3,780,000.00 "
PABRIK SERANG,SERANG,SIDOARJO,SIDOARJO,GRAND MAX BOX," Rp3,900,000.00 "
PABRIK SERANG,SERANG,TANGERANG,TANGERANG,GRAND MAX BOX," Rp1,200,000.00 "
PABRIK SERANG,SERANG,YOGYAKARTA,YOGYAKARTA,GRAND MAX BOX," Rp3,660,000.00 "
PABRIK SERANG,SERANG,PALEMBANG,PALEMBANG,GRAND MAX BOX," Rp6,000,000.00 "
PABRIK SERANG,SERANG,BUMIREJO,"MARGOREJO, PATI",GRAND MAX BOX," Rp3,780,000.00 "
