Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT WILMAR CAHAYA INDONESIA TBK,46071.5758333333,,0694/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,02/02/2026 SPO NO 8306062672
PT WILMAR CAHAYA INDONESIA TBK,46071.5765509259,,0695/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,03/02/2026 SPO NO 8306062745
PT WILMAR CAHAYA INDONESIA TBK,46071.5772106481,,0696/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2000000,0,2000000,220000,2220000,,05/02/2026 SPO NO 8306062832
PT WILMAR CAHAYA INDONESIA TBK,46071.5778009259,,0697/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2500000,0,2500000,275000,2775000,,05/02/2026 SPO NO 8306062802
PT WILMAR CAHAYA INDONESIA TBK,46071.5784837963,,0698/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,06/02/2026 SPO NO 8306062909
PT WILMAR CAHAYA INDONESIA TBK,46071.5791203704,,0699/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,1800000,0,1800000,198000,1998000,,08/02/2026 SPO NO 8306062988
PT WILMAR CAHAYA INDONESIA TBK,46071.5798032407,,0700/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3200000,0,3200000,352000,3552000,,08/02/2026 SPO NO 8306062994
PT WILMAR CAHAYA INDONESIA TBK,46071.5808333333,,0701/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,1500000,0,1500000,165000,1665000,,09/02/2026 SPO NO 8306063011
PT WILMAR CAHAYA INDONESIA TBK,46071.5815393519,,0702/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2500000,0,2500000,275000,2775000,,11/02/2026 SPO NO 8306063140
PT WILMAR CAHAYA INDONESIA TBK,46071.5822453704,,0703/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,1500000,0,1500000,165000,1665000,,11/02/2026 SPO NO 8306063144
PT WILMAR CAHAYA INDONESIA TBK,46071.582962963,,0704/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2000000,0,2000000,220000,2220000,,12/02/2026 SPO NO 8306063185
PT WILMAR CAHAYA INDONESIA TBK,46071.5835532407,,0705/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3200000,0,3200000,352000,3552000,,12/02/2026 SPO NO 8306063187
PT WILMAR CAHAYA INDONESIA TBK,46071.5841666667,,0706/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,13/02/2026 SPO NO 8306063245
PT WILMAR CAHAYA INDONESIA TBK,46071.5848263889,,0707/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,1500000,0,1500000,165000,1665000,,15/02/2026 SPO NO 8306063289
PT WILMAR CAHAYA INDONESIA TBK,46071.5854282407,,0708/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2500000,0,2500000,275000,2775000,,15/02/2026 SPO NO 8306063306
PT WILMAR CAHAYA INDONESIA TBK,46071.5860300926,,0709/JL/CKRG/0226,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,17/02/2026 SPO NO 8306063349
PT WILMAR CAHAYA INDONESIA TBK,46066.4252430556,,0636/JL/CKRG/0226,1,TRW0004,BIAYA PENGGANTIAN ONGKOS KULI,1,LOT,76000,0,76000,0,76000,,02/02/2026 SPO NO 8308051330                                  09/02/2026 SPO NO 8308051330
PT WILMAR CAHAYA INDONESIA TBK,46066.4252430556,,0636/JL/CKRG/0226,2,TRW0004,BIAYA PENGGANTIAN ONGKOS KULI,1,LOT,300000,0,300000,0,300000,,02/02/2026 SPO NO 8308051330                                  09/02/2026 SPO NO 8308051330
PT WILMAR CAHAYA INDONESIA TBK,46071.5869907407,,0710/JL/CKRG/0226,1,TRW004,PEMBAYARAN PENGGANTIAN KULI BONGKAR,1,UNIT,271500,0,271500,0,271500,,18 FEBRUARI 2026
PT WILMAR CAHAYA INDONESIA TBK,46071.5875347222,,0711/JL/CKRG/0226,1,TRW004,PEMBAYARAN PENGGANTIAN KULI BONGKAR,1,UNIT,300000,0,300000,0,300000,,18 FEBRUARI 2026
