LAPORAN PENJUALAN DETAIL PERIODE JANUARI 2026,,,,,,,,,,,,,,,
Data per 3 february 2026,,,,,,,,,,,,,,,
Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
PT. ADVANEX PRECISION INDONESIA,1/14/2026 9:46,POV2601044,0254/JL/CKRG/0126,1,TRM4472,TEKIRO HEX KEY ELECTRO SET (KUNCI L ELEKTRONIK) HK-EL1198 0.71-3MM 1 SET (7PCS),3.00,PCS,"33,750.00",0,"101,250.00"," 11,137.50 "," 112,387.50 ",,PO : POV2601044                          DO : 12136-140126
PT. ADVANEX PRECISION INDONESIA,1/14/2026 9:46,POV2601044,0254/JL/CKRG/0126,2,TRM4473,HONEYWELL KACAMATA SAFETY KINGS KY8811A ANTI-SCRATCH - ANTI SINAR UV,20.00,PCS,"62,843.00",0,"1,256,860.00"," 138,254.60 "," 1,395,114.60 ",,PO : POV2601044                          DO : 12136-140126
PT. ADVANEX PRECISION INDONESIA,1/21/2026 11:07,POV2601058,0356/JL/CKRG/0126,1,TRM4476,BATERAI CR2477N ORIGINAL RENATA BATTERY LITHIUM 3V,5.00,PCS,"114,750.00",0,"573,750.00"," 63,112.50 "," 636,862.50 ",04002600017310636,PO : POV2601058                          DO : 12330-210126
PT. ADVANEX PRECISION INDONESIA,1/21/2026 11:07,POV2601058,0356/JL/CKRG/0126,2,TRM4477,RELAY MY4N-GS-R AC220/240 BY OMZ OMRON,10.00,PCS,"61,425.00",0,"614,250.00"," 67,567.50 "," 681,817.50 ",04002600017310636,PO : POV2601058                          DO : 12330-210126
PT. ADVANEX PRECISION INDONESIA,1/21/2026 11:07,POV2601058,0356/JL/CKRG/0126,3,TRM4478,WIPRO ADAPTOR FOR IMPACT WRENCH AND RATCHET WRENCHES AW-1214,2.00,PCS,"17,010.00",0,"34,020.00"," 3,742.20 "," 37,762.20 ",04002600017310636,PO : POV2601058                          DO : 12330-210126
PT. ASAHI SUKSES INDUSTRI,1/13/2026 15:15,PO ASI/26/0035,0266/JL/CKRG/0126,1,TRM4471,STRAPING BAND EYZER 19MM ROLL,1.00,ROL,"1,500,000.00",0,"1,500,000.00"," 165,000.00 "," 1,665,000.00 ",04002600012263180,PO : PO ASI/26/0035                     DO : 12312-140126
PT. Essilorluxottica Professional Solutions Indonesia,1/20/2026 9:23,PO-000010277,0381/JL/CKRG/0126,1,TRM1375,LAKBAN COKLAT BESAR,288.00,PCS,"6,750.00",0,"1,944,000.00"," 213,840.00 "," 2,157,840.00 ",04002600019083964,PO : PO-000010277                       DO : 12326-200126
PT. Essilorluxottica Professional Solutions Indonesia,1/23/2026 9:29,PO-000010847,0384/JL/CKRG/0126,1,TRM1555,HVS PAPER A4 PINK 70GR,15.00,RIM,"73,190.00",0,"1,097,850.00"," 120,763.50 "," 1,218,613.50 ",04002600019083990,PO : PO-000010847                       DO : 12334-230126
PT. HANYA KARYA BAHANA,1/8/2026 8:12,HKB/PO/12/025/3375,0188/JL/CKRG/0126,1,TRM0382,PLASTIK WAYANG UK 15X20,10.00,KG,"53,000.00",0,"530,000.00"," 58,300.00 "," 588,300.00 ",04002600006961367,PO : HKB/PO/12/025/3375            DO : 12295-080126        
PT. HANYA KARYA BAHANA,1/8/2026 8:12,HKB/PO/12/025/3375,0188/JL/CKRG/0126,2,TRM0532,KERTAS VCI 30 x 33,500.00,PCS,"1,765.00",0,"882,500.00"," 97,075.00 "," 979,575.00 ",04002600006961367,PO : HKB/PO/12/025/3375            DO : 12295-080126        
PT. HANYA KARYA BAHANA,1/8/2026 8:12,HKB/PO/12/025/3375,0188/JL/CKRG/0126,3,TRM1216,NABAKEM,2.00,PAIL,"133,650.00",0,"267,300.00"," 29,403.00 "," 296,703.00 ",04002600006961367,PO : HKB/PO/12/025/3375            DO : 12295-080126        
PT. HANYA KARYA BAHANA,1/8/2026 8:12,HKB/PO/12/025/3375,0188/JL/CKRG/0126,4,TRM0214,OIL SINGER 1 LITER,2.00,LTR,"41,100.00",0,"82,200.00"," 9,042.00 "," 91,242.00 ",04002600006961367,PO : HKB/PO/12/025/3375            DO : 12295-080126        
PT. INDOSAFETY SENTOSA INDUSTRY,1/6/2026 8:42,001/TO/PURCH/XI/25,0150/JL/CKRG/0126,1,TRM4452,"LAKBAN OKAMOTO 2""X50M",10.00,ROL,"38,410.00",0,"384,100.00"," 42,251.00 "," 426,351.00 ",04002600006961378,PO : 001/TO/PURCH/XI/25            DO : 12274-060125
PT. INDOSAFETY SENTOSA INDUSTRY,1/6/2026 8:42,001/TO/PURCH/XI/25,0150/JL/CKRG/0126,2,TRM4447,EKA TAPE 45MM X 85 Y,10.00,ROL,"10,896.00",0,"108,960.00"," 11,985.60 "," 120,945.60 ",04002600006961378,PO : 001/TO/PURCH/XI/25            DO : 12274-060125
