Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,14,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,15,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,16,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,17,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,18,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,19,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,20,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,21,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,22,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,23,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
